gene_id	transcript_id(s)	SRX26953675	SRX26953676	SRX26953677	SRX26953678	SRX26953679	SRX26953680	SRX26953681	SRX26953682	SRX26953683	SRX26953684	SRX26953685	SRX26953686
ENSMUSG00000002981	ENSMUST00000055242,ENSMUST00000207704,ENSMUST00000208174,ENSMUST00000208215,ENSMUST00000208554,ENSMUST00000208594,ENSMUST00000208599,ENSMUST00000208846,ENSMUST00000208868	8750.00	7355.00	9446.00	8821.00	3633.00	1718.00	5004.00	1597.00	5526.00	4510.00	7748.00	7031.00
ENSMUSG00000002983	ENSMUST00000049912,ENSMUST00000094762,ENSMUST00000130543,ENSMUST00000131759,ENSMUST00000137615,ENSMUST00000141586,ENSMUST00000148040,ENSMUST00000153309,ENSMUST00000208087	1187.00	1061.00	1092.00	1216.00	1660.00	607.00	2528.00	1052.00	2382.00	714.00	850.00	1221.00
ENSMUSG00000002984	ENSMUST00000032555,ENSMUST00000093552,ENSMUST00000172705,ENSMUST00000173966,ENSMUST00000174476,ENSMUST00000208286	2590.87	2290.87	2869.00	2207.70	1673.00	1801.00	1620.00	957.00	2588.00	1885.91	3983.00	3738.64
ENSMUSG00000002985	ENSMUST00000003066,ENSMUST00000167646,ENSMUST00000172808,ENSMUST00000172983,ENSMUST00000173739,ENSMUST00000174064,ENSMUST00000174144,ENSMUST00000174191,ENSMUST00000174355,ENSMUST00000174710,ENSMUST00000207525	112664.44	163857.00	195388.00	223562.00	278628.00	507627.00	562168.00	281384.00	71964.00	139406.00	104148.00	86869.00
ENSMUSG00000002992	ENSMUST00000003074,ENSMUST00000134116,ENSMUST00000142352	47.00	143.00	382.00	149.00	341.00	6.00	139.00	158.00	101.00	139.00	22.00	83.00
ENSMUSG00000002996	ENSMUST00000167458,ENSMUST00000172314,ENSMUST00000175666,ENSMUST00000175686,ENSMUST00000176084,ENSMUST00000176103,ENSMUST00000176138,ENSMUST00000176520,ENSMUST00000176643	1561.33	5266.93	4799.08	3305.93	3828.23	3059.04	2878.38	2356.82	4000.79	4381.23	4416.75	5734.92
ENSMUSG00000002997	ENSMUST00000003079,ENSMUST00000036497,ENSMUST00000146865	18699.00	10585.00	10756.00	8528.00	1755.00	9493.00	3265.00	3291.00	8482.00	2871.00	3003.00	5253.00
ENSMUSG00000003031	ENSMUST00000003115,ENSMUST00000067327,ENSMUST00000204807	361.00	667.00	485.00	444.00	349.00	6.00	259.00	545.00	1670.00	1878.00	623.00	1628.00
ENSMUSG00000003032	ENSMUST00000107619,ENSMUST00000129250,ENSMUST00000132746	4800.00	4114.00	3682.00	4439.00	202.00	175.00	206.00	744.00	245.00	98.00	110.00	96.00
ENSMUSG00000003033	ENSMUST00000003117,ENSMUST00000126885,ENSMUST00000145213,ENSMUST00000151546,ENSMUST00000156735,ENSMUST00000212708,ENSMUST00000212841,ENSMUST00000212940	3506.00	2815.00	3725.00	2897.00	2395.00	2933.00	2530.00	1405.00	2153.00	1444.00	1883.00	3651.00
